나이,성별,결혼,종교_최종,학위_최종,부서,이직계획유무,건강상태_최종,근무지역_최종,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),최종임상경력(일),최종임상경력(월),최종임상경력(년),병동경력(일),년차_최종,연차별시작문항응답,연차별최종문항응답
29,2,2,1,1,2,1,2,1,4.65,5,4.4,4.25,0,0,3315,3315,111,10,1125,3,13,13
30,2,1,1,1,2,2,1,1,3.24,3.13,3.4,3.25,0,0,4345,4345,145,13,2065,3,13,13
23,2,2,1,2,1,1,2,1,3.76,4,3.8,3.25,1,1,1155,1093,36,3,395,1,13,13
27,2,2,2,2,1,1,1,1,3.06,3.13,3,3,1,1,1060,632,21,2,395,1,123,123
29,2,2,2,2,2,2,1,1,3.76,3.63,4.6,3,1,1,2005,1746,58,6,545,2,13,13
30,2,2,1,2,1,1,1,1,3.53,3.63,3.6,3.25,1,1,3315,2598,87,8,1490,3,13,13
27,2,2,1,1,2,2,1,1,4,4,4,4,1,1,1550,853,28,3,1185,1,13,13
28,2,2,1,2,1,1,1,1,3.82,3.63,4.4,3.5,0,0,2980,2980,99,9,1305,3,13,13
32,2,2,1,2,2,1,1,1,3.53,3.13,4,3.75,0,0,3710,3710,124,11,1305,3,13,13
30,2,2,1,1,2,1,1,1,3.12,3.13,3,3.25,1,1,4345,4162,139,12,515,3,13,13
28,2,2,1,1,2,2,1,1,4.82,5,4.8,4.5,0,0,2035,2035,68,7,1520,2,123,123
43,2,1,1,2,1,1,2,1,3.35,3.5,3.2,3.25,0,0,4345,4345,145,13,2370,3,13,13
26,2,2,1,1,2,2,1,2,3.82,3.75,4.2,3.5,0,0,2005,2005,67,7,1125,2,123,123
26,2,2,2,1,1,2,1,1,3.65,3.75,3.6,3.5,0,0,1275,1275,43,4,1275,2,13,13
25,2,2,2,2,2,2,1,2,4.53,4.63,4.4,4.5,0,0,1490,1490,50,6,1125,2,13,13
26,2,2,2,2,1,2,2,1,4.12,4.38,3.8,4,0,0,1550,1550,52,6,1550,2,123,123
57,2,1,1,1,1,1,1,1,3.65,3.75,3.6,3.5,1,1,4135,3807,127,11,665,3,13,13
29,2,2,2,1,1,1,2,2,3.47,3.13,4.2,3.25,0,0,3345,3345,112,10,1275,3,13,13
34,2,1,1,1,1,2,1,2,4.35,4.25,4.6,4.25,1,1,3315,2745,92,8,910,3,123,123
31,2,1,2,1,1,1,2,1,2.94,3.13,3,2.5,1,1,2950,2735,91,8,485,3,123,123
38,2,1,1,1,1,1,2,1,4.12,4.25,4,4,1,1,4345,4311,144,12,395,3,13,13
29,2,2,2,1,1,2,2,1,3.47,3.5,3.6,3.25,0,0,3830,3830,128,11,2005,3,13,13
